x,y,street_count,geometry,out_degree,in_degree
104.0644346,30.6232374,3,POINT (104.0644346 30.6232374),2,1
104.0644769,30.6217898,3,POINT (104.0644769 30.6217898),1,2
104.0647097,30.6130719,3,POINT (104.0647097 30.6130719),2,1
104.0653725,30.5884106,4,POINT (104.0653725 30.5884106),2,2
104.0656842,30.5782459,4,POINT (104.0656842 30.5782459),2,2
104.0645615,30.6227013,3,POINT (104.0645615 30.6227013),2,1
104.0660187,30.6226409,3,POINT (104.0660187 30.6226409),1,2
104.0253517,30.6424781,5,POINT (104.0253517 30.6424781),3,3
104.1121286,30.7504055,4,POINT (104.1121286 30.7504055),3,3
104.1102077,30.740806,4,POINT (104.1102077 30.740806),3,3
104.100294,30.7147948,4,POINT (104.100294 30.7147948),3,3
104.083862,30.6898358,3,POINT (104.083862 30.6898358),2,2
104.080525,30.6847522,4,POINT (104.080525 30.6847522),2,2
104.0690996,30.6799019,4,POINT (104.0690996 30.6799019),2,2
104.0336018,30.6809746,4,POINT (104.0336018 30.6809746),3,3
104.0317815,30.6191067,4,POINT (104.0317815 30.6191067),2,2
104.0339744,30.6171946,4,POINT (104.0339744 30.6171946),3,3
104.0476443,30.6113323,3,POINT (104.0476443 30.6113323),2,1
104.0496633,30.6112841,3,POINT (104.0496633 30.6112841),1,2
104.0527536,30.6416688,4,POINT (104.0527536 30.6416688),3,3
104.0456023,30.6305255,3,POINT (104.0456023 30.6305255),2,1
104.0399539,30.6218874,4,POINT (104.0399539 30.6218874),2,3
104.0664771,30.6548869,4,POINT (104.0664771 30.6548869),2,2
104.0389028,30.6485626,4,POINT (104.0389028 30.6485626),3,3
104.0580855,30.6607276,4,POINT (104.0580855 30.6607276),2,2
104.0537838,30.65015,4,POINT (104.0537838 30.65015),3,3
104.0511678,30.6486908,3,POINT (104.0511678 30.6486908),2,1
104.0459662,30.644761,4,POINT (104.0459662 30.644761),4,4
104.0637659,30.6461432,4,POINT (104.0637659 30.6461432),2,2
104.0352027,30.6427844,3,POINT (104.0352027 30.6427844),2,2
104.0085951,30.6549461,3,POINT (104.0085951 30.6549461),2,2
103.9859147,30.6505147,3,POINT (103.9859147 30.6505147),1,2
104.0154053,30.6165495,3,POINT (104.0154053 30.6165495),2,1
104.0347608,30.6534113,3,POINT (104.0347608 30.6534113),2,2
104.0351017,30.6469123,4,POINT (104.0351017 30.6469123),4,4
104.0306897,30.6394678,3,POINT (104.0306897 30.6394678),2,2
104.0267045,30.6434755,4,POINT (104.0267045 30.6434755),4,4
104.035148,30.6456718,3,POINT (104.035148 30.6456718),3,3
104.0350235,30.6491419,4,POINT (104.0350235 30.6491419),4,4
104.0325831,30.6499932,3,POINT (104.0325831 30.6499932),3,3
104.0640236,30.6373168,3,POINT (104.0640236 30.6373168),2,2
104.0636071,30.6515841,3,POINT (104.0636071 30.6515841),2,2
104.0681138,30.6695736,4,POINT (104.0681138 30.6695736),2,2
104.0360035,30.6318966,3,POINT (104.0360035 30.6318966),2,2
104.0393042,30.6368504,4,POINT (104.0393042 30.6368504),4,4
104.0373735,30.6340423,4,POINT (104.0373735 30.6340423),3,3
104.0325038,30.6408847,4,POINT (104.0325038 30.6408847),2,2
104.0318293,30.6439497,4,POINT (104.0318293 30.6439497),3,3
104.0351525,30.6442419,3,POINT (104.0351525 30.6442419),3,3
104.0337578,30.639527,4,POINT (104.0337578 30.639527),3,3
104.0705385,30.6574171,3,POINT (104.0705385 30.6574171),2,2
104.0554865,30.6271927,4,POINT (104.0554865 30.6271927),3,3
104.0458255,30.6308703,3,POINT (104.0458255 30.6308703),1,2
104.0425565,30.6257631,3,POINT (104.0425565 30.6257631),1,2
104.042614,30.6259899,3,POINT (104.042614 30.6259899),2,1
104.0444735,30.628729,3,POINT (104.0444735 30.628729),2,1
104.0440144,30.6280198,3,POINT (104.0440144 30.6280198),1,2
104.044124,30.6280339,3,POINT (104.044124 30.6280339),2,1
104.0445255,30.627425,3,POINT (104.0445255 30.627425),1,2
104.0454194,30.6193901,4,POINT (104.0454194 30.6193901),3,3
104.0393748,30.6021117,4,POINT (104.0393748 30.6021117),2,2
104.0246429,30.5902154,3,POINT (104.0246429 30.5902154),2,1
104.0235501,30.5891115,3,POINT (104.0235501 30.5891115),0,2
104.0491371,30.628819,5,POINT (104.0491371 30.628819),3,3
104.0365362,30.6398782,4,POINT (104.0365362 30.6398782),4,4
104.1019833,30.7142235,1,POINT (104.1019833 30.7142235),1,1
104.0189264,30.6726129,4,POINT (104.0189264 30.6726129),2,2
