,user_id,flag,road_len,gps_len,road,gps,time,ptime
0,0,1,23,42,"[36703, 32619, 13433, 18845, 1093, 4427, 21251, 7328, 7320, 2861, 24069, 24070, 26088, 7169, 10612, 26262, 26263, 24160, 20294, 4337, 4338, 25096, 1976]","[[104.1237356384238, 30.65295917230098], [104.1237816851505, 30.65296721938243], [104.1239398364736, 30.65320729022353], [104.1239478347407, 30.65342420568984], [104.1239478240266, 30.6536571053915], [104.1241208500145, 30.65698086053816], [104.1241738447508, 30.65829135043871], [104.123369944797, 30.65997273557807], [104.1231417077683, 30.66014341437674], [104.1227963673977, 30.66008506976591], [104.116438007719, 30.65735117830689], [104.1152772069707, 30.65683644732707], [104.114663805798, 30.65658507219882], [104.1132409510094, 30.65569938715662], [104.1131779130282, 30.65570633858881], [104.1129938104769, 30.65556626696558], [104.1126936423669, 30.6554261147966], [104.1127326510172, 30.65572601258096], [104.112742640343, 30.65608286522336], [104.1127465523079, 30.65804301793148], [104.1127425456207, 30.65813797384353], [104.1127345323406, 30.65832588651539], [104.1127295249403, 30.65842384039757], [104.1127245177714, 30.65851679644628], [104.1127225120568, 30.65861575199206], [104.112721506965, 30.65871370866871], [104.1126233838615, 30.66016300828721], [104.1107030878918, 30.66620708176177], [104.1085498937413, 30.67160343077061], [104.1064319277455, 30.67685202349348], [104.1039271256089, 30.68151890165549], [104.1020737258607, 30.68491877252431], [104.1015056137582, 30.6864499229757], [104.1031787590422, 30.68690819020373], [104.1032097766835, 30.68662033215127], [104.1038609529284, 30.6850112870863], [104.1039419641173, 30.68507428669673], [104.1055262819922, 30.68551169698419], [104.1068336442172, 30.68562822510338], [104.1071677779759, 30.68504165316055], [104.1060554933333, 30.68394863802346], [104.1053453246833, 30.68362048579924]]","[1407028822, 1407028823, 1407028828, 1407028831, 1407028834, 1407028864, 1407028876, 1407028937, 1407028954, 1407028958, 1407029019, 1407029049, 1407029080, 1407029111, 1407029141, 1407029171, 1407029197, 1407029200, 1407029203, 1407029224, 1407029225, 1407029227, 1407029228, 1407029229, 1407029230, 1407029231, 1407029242, 1407029278, 1407029309, 1407029340, 1407029370, 1407029401, 1407029424, 1407029453, 1407029456, 1407029486, 1407029488, 1407029519, 1407029549, 1407029562, 1407029591, 1407029621]","[1407028822, 1407028828, 1407028831, 1407028864, 1407028937, 1407028954, 1407028987, 1407029019, 1407029111, 1407029200, 1407029227, 1407029242, 1407029278, 1407029309, 1407029340, 1407029371, 1407029401, 1407029413, 1407029424, 1407029456, 1407029519, 1407029549, 1407029621]"
1,0,1,18,18,"[1976, 2744, 4529, 4340, 4336, 20295, 2721, 2723, 32669, 32673, 32671, 2741, 20292, 1106, 18502, 4382, 27032, 26738]","[[104.105353327453, 30.68360249728764], [104.1045731670838, 30.68328733299331], [104.1030749309761, 30.68287500030692], [104.1030149138945, 30.68307189173808], [104.1018616337361, 30.68653997337641], [104.1002674981781, 30.68817085627079], [104.0999445072524, 30.68803585684497], [104.0999885294088, 30.68754109222755], [104.1011816644493, 30.68499151170669], [104.1027698975378, 30.68275795912137], [104.1049314270576, 30.67931727396216], [104.1065570123772, 30.67581954532379], [104.1072213307093, 30.67344192649485], [104.1071453070897, 30.67341390211968], [104.1052888070959, 30.67287031687938], [104.1048087093988, 30.67261324058948], [104.1052488023955, 30.67276534751099], [104.1053608303667, 30.67274240356607]]","[1407029836, 1407029866, 1407029897, 1407029899, 1407029930, 1407029960, 1407029965, 1407029979, 1407030009, 1407030040, 1407030071, 1407030101, 1407030132, 1407030134, 1407030165, 1407030195, 1407030225, 1407030256]","[1407029836, 1407029897, 1407029908, 1407029919, 1407029930, 1407029937, 1407029944, 1407029951, 1407029958, 1407029965, 1407029987, 1407030009, 1407030040, 1407030071, 1407030086, 1407030101, 1407030179, 1407030256]"
2,0,1,21,15,"[1985, 4471, 32121, 32120, 4491, 4349, 4485, 20274, 20273, 4346, 4485, 20274, 20272, 20270, 26260, 20269, 2742, 1105, 2745, 3636, 26313]","[[104.1069872579084, 30.67337584315257], [104.1071373078036, 30.67334193045743], [104.108257639212, 30.6746908933756], [104.107274225556, 30.67610075936029], [104.1069990591154, 30.67776687571935], [104.1068340097867, 30.67770782399668], [104.1066709569772, 30.67776472200073], [104.1065788907737, 30.67859730346911], [104.1039961247097, 30.68180279703277], [104.1034809966322, 30.6827222016953], [104.1032519657976, 30.68265315792569], [104.1030649491037, 30.68245318915546], [104.099518819095, 30.68153075490495], [104.0976979082898, 30.68284392843433], [104.0977279017284, 30.6829039037381]]","[1407030471, 1407030501, 1407030562, 1407030571, 1407030601, 1407030632, 1407030663, 1407030684, 1407030714, 1407030745, 1407030772, 1407030774, 1407030804, 1407030833, 1407030834]","[1407030471, 1407030494, 1407030517, 1407030539, 1407030562, 1407030565, 1407030568, 1407030571, 1407030632, 1407030644, 1407030655, 1407030667, 1407030679, 1407030691, 1407030702, 1407030714, 1407030772, 1407030788, 1407030804, 1407030819, 1407030834]"
3,0,1,11,14,"[27528, 1102, 2726, 32671, 2741, 20292, 1106, 18502, 4382, 27032, 26738]","[[104.0979707278125, 30.68604149352005], [104.0979957238321, 30.68606648454731], [104.1001625350939, 30.6873791994388], [104.1011996540269, 30.68523440491678], [104.1015277029797, 30.68454579962595], [104.1028429086426, 30.68271000321037], [104.1045643200263, 30.67993385320194], [104.1061458486299, 30.67679192205361], [104.107257336653, 30.67357088633572], [104.1066021551041, 30.67301882194192], [104.1047086819462, 30.67274314389378], [104.1042456007518, 30.67248308664137], [104.1051327786969, 30.67268833504658], [104.1053718334566, 30.67273341211128]]","[1407031819, 1407031820, 1407031854, 1407031885, 1407031915, 1407031946, 1407031976, 1407032007, 1407032038, 1407032055, 1407032086, 1407032103, 1407032134, 1407032164]","[1407031819, 1407031837, 1407031854, 1407031870, 1407031885, 1407031915, 1407031976, 1407031992, 1407032007, 1407032086, 1407032164]"
4,0,1,22,27,"[2438, 1568, 18515, 21703, 21706, 21712, 1574, 33042, 33040, 33038, 4477, 6452, 1347, 20283, 2856, 2858, 2859, 33757, 2863, 13470, 13450, 18821]","[[104.1083041253637, 30.66452943329467], [104.1082702132694, 30.66234437485648], [104.1082683180269, 30.66005637422861], [104.1082713219255, 30.65999640198011], [104.108393383465, 30.65966860984357], [104.1099870560317, 30.65957555267198], [104.110270185488, 30.65960271166113], [104.1116628804226, 30.65960359729689], [104.112172164306, 30.65942301882729], [104.1122662759229, 30.65813264477511], [104.1124454604876, 30.65630556101721], [104.1124825302841, 30.65524504548174], [104.112500541126, 30.65523106404584], [104.1125725850501, 30.65516614231201], [104.1126336205948, 30.65515119147029], [104.1127787079194, 30.6550683293382], [104.1129037756636, 30.65517637130133], [104.1145717635655, 30.65618717309831], [104.114624794036, 30.65628217307959], [104.1167872659353, 30.6573694671575], [104.1185626226824, 30.65818668915787], [104.1196114865053, 30.65861948542178], [104.1203321116082, 30.658781113829], [104.1204872639833, 30.65848739439676], [104.1205163215903, 30.6578027206565], [104.1195384870445, 30.6572400148982], [104.1194564214778, 30.65713298311253]]","[1407035987, 1407036018, 1407036048, 1407036079, 1407036110, 1407036141, 1407036148, 1407036178, 1407036201, 1407036221, 1407036252, 1407036283, 1407036313, 1407036344, 1407036374, 1407036390, 1407036393, 1407036423, 1407036454, 1407036485, 1407036515, 1407036546, 1407036556, 1407036562, 1407036577, 1407036608, 1407036638]","[1407035987, 1407036003, 1407036018, 1407036038, 1407036059, 1407036079, 1407036110, 1407036141, 1407036178, 1407036221, 1407036237, 1407036252, 1407036283, 1407036313, 1407036344, 1407036423, 1407036444, 1407036464, 1407036485, 1407036515, 1407036562, 1407036638]"
5,0,1,22,19,"[13783, 16944, 16953, 16954, 8810, 5529, 8822, 28095, 16980, 16975, 8794, 16959, 5534, 18376, 11496, 28024, 36270, 28025, 28026, 35716, 9423, 9427]","[[104.13404319431, 30.62729385927321], [104.1349444392962, 30.62727714117095], [104.1347721912943, 30.62745982142863], [104.1346920778485, 30.62750968726799], [104.1325090577577, 30.62892007499445], [104.1325260758418, 30.62901605893658], [104.1340569855321, 30.63226584265903], [104.1346777835359, 30.63350620752864], [104.1346827907967, 30.63349921752331], [104.135774223331, 30.63563389912797], [104.136946759816, 30.6388072932179], [104.136939738472, 30.63905118097312], [104.1365080966819, 30.63945137851991], [104.1331524300738, 30.63948158976462], [104.1304949772454, 30.63948302161037], [104.1297961046538, 30.6395270981835], [104.1294596792575, 30.63978955779828], [104.1294026099709, 30.63977948930006], [104.1295027371309, 30.63967665996229]]","[1407073608, 1407073669, 1407073671, 1407073672, 1407073698, 1407073699, 1407073730, 1407073760, 1407073791, 1407073822, 1407073853, 1407073856, 1407073865, 1407073895, 1407073916, 1407073929, 1407073960, 1407073962, 1407074023]","[1407073608, 1407073638, 1407073668, 1407073698, 1407073729, 1407073760, 1407073822, 1407073828, 1407073834, 1407073841, 1407073847, 1407073853, 1407073857, 1407073861, 1407073865, 1407073880, 1407073895, 1407073902, 1407073909, 1407073916, 1407073929, 1407074023]"
6,0,1,16,26,"[9425, 9424, 31854, 1348, 12116, 12119, 20230, 5565, 5562, 13470, 13449, 1093, 4427, 21251, 7328, 7320]","[[104.1295527970029, 30.63970871047543], [104.1297049855493, 30.63967491939948], [104.1297600574363, 30.63958702682246], [104.1296409207243, 30.63936996486781], [104.1265172600139, 30.63906923744607], [104.12558123001, 30.63895818761724], [104.1248034018196, 30.63878237122469], [104.1237853407929, 30.63877823775026], [104.1186675164912, 30.64063528001837], [104.1139679877938, 30.64288439419973], [104.1111803304328, 30.64439580982997], [104.1094294647423, 30.64534733889826], [104.1086510746471, 30.64684526756409], [104.1107338132694, 30.65079080537471], [104.1125335851028, 30.65468332359237], [104.112923779208, 30.65535330907671], [104.1161107778041, 30.65717298159752], [104.1184905635924, 30.65818662298199], [104.1192601908267, 30.65850620065437], [104.1208245375406, 30.65917343086984], [104.1207895029745, 30.65923137065437], [104.1206623889252, 30.65920325632651], [104.1167372207762, 30.6575373514965], [104.1150570607863, 30.65675430758739], [104.1149239731959, 30.65670922200049], [104.1140964509136, 30.65631075582546]]","[1407074494, 1407074501, 1407074505, 1407074513, 1407074543, 1407074574, 1407074605, 1407074613, 1407074644, 1407074674, 1407074705, 1407074725, 1407074743, 1407074773, 1407074804, 1407074814, 1407074845, 1407074875, 1407074906, 1407074937, 1407074941, 1407074943, 1407074974, 1407075004, 1407075035, 1407075066]","[1407074494, 1407074531, 1407074568, 1407074605, 1407074674, 1407074725, 1407074773, 1407074794, 1407074814, 1407074875, 1407074941, 1407074949, 1407074958, 1407074966, 1407074974, 1407075066]"
7,1,0,15,33,"[13177, 4183, 20686, 4141, 20691, 34698, 10765, 21142, 4159, 20844, 15947, 10788, 20811, 33254, 36043]","[[103.9854211459591, 30.60175360777422], [103.9856701999324, 30.6027504813703], [103.9857399381103, 30.60295519430998], [103.9859092942206, 30.60363342707581], [103.9860348095884, 30.60430279367371], [103.9861971910883, 30.60496605174593], [103.9863595760234, 30.60554234280348], [103.9864681579171, 30.60608180872232], [103.9865378877347, 30.60646545110817], [103.9865458574079, 30.60649641522173], [103.9865478502458, 30.60649441002965], [103.9865498429975, 30.6064944040622], [103.9865627927833, 30.60656633735869], [103.9866913019543, 30.60710474324202], [103.9869264060245, 30.60803167783452], [103.987222280062, 30.60914235699164], [103.9874135487736, 30.6099274758512], [103.9875918789668, 30.61037376542922], [103.9881996414117, 30.61079477257244], [103.9890236092627, 30.61120412916664], [103.9896811849107, 30.61153601382912], [103.990458314013, 30.6119574985132], [103.9911796458803, 30.61233416605632], [103.9919159208866, 30.612672800235], [103.9924509505605, 30.61264518709714], [103.9929979586687, 30.61206175495688], [103.993489168839, 30.61153546854662], [103.9936615405903, 30.61134901755467], [103.993946501088, 30.61105526601433], [103.9944197718532, 30.61061599805475], [103.9946329881378, 30.61051938687898], [103.9946379695976, 30.61052237054528], [103.9945393301142, 30.61061463467119]]","[1407031959, 1407031969, 1407031979, 1407031989, 1407031999, 1407032009, 1407032019, 1407032029, 1407032039, 1407032049, 1407032059, 1407032069, 1407032079, 1407032089, 1407032099, 1407032109, 1407032119, 1407032129, 1407032139, 1407032149, 1407032159, 1407032169, 1407032179, 1407032189, 1407032199, 1407032209, 1407032219, 1407032229, 1407032240, 1407032250, 1407032270, 1407032280, 1407032290]","[1407031959, 1407031969, 1407031989, 1407031999, 1407032049, 1407032074, 1407032099, 1407032119, 1407032139, 1407032149, 1407032159, 1407032169, 1407032179, 1407032219, 1407032290]"
8,1,1,24,53,"[10780, 10786, 10793, 35593, 20865, 31863, 4129, 20879, 31054, 10803, 32614, 10811, 33248, 20890, 32292, 18971, 18972, 17151, 17152, 4880, 4878, 17155, 17159, 11123]","[[103.9944197674305, 30.61071795811327], [103.9941706774192, 30.61095462339878], [103.9936635277735, 30.61147496207025], [103.9932759405209, 30.61188797835777], [103.9927528461913, 30.61244334961001], [103.99268011059, 30.61253153585563], [103.9924130836701, 30.61279424338624], [103.9917365533058, 30.61332108893147], [103.990775060273, 30.6140257247985], [103.9898603897482, 30.61471322007869], [103.9892426332297, 30.61521288802162], [103.988727495228, 30.61577621848937], [103.9881057377281, 30.61649580549886], [103.9874391380784, 30.61726250486459], [103.9869379395882, 30.61784577698741], [103.9865343885945, 30.61830580322268], [103.9862025765279, 30.61873362594151], [103.9859394992035, 30.61949610812457], [103.9858288716915, 30.62017016898958], [103.9857730551722, 30.62061215863481], [103.9857660802676, 30.62061717746464], [103.9857620945154, 30.62062218736557], [103.9857610979589, 30.62062618873868], [103.9857591051043, 30.62062819388942], [103.9857601013594, 30.620631189711], [103.9857411651059, 30.62074620016165], [103.9855697563684, 30.62145342823152], [103.9853993297777, 30.62248352262517], [103.9855876049063, 30.62346056659761], [103.9863219143706, 30.62401614656624], [103.9879051077313, 30.62487704730899], [103.9879708308805, 30.62572650529303], [103.9878970414362, 30.62708817394289], [103.9879826916162, 30.62794156866775], [103.9889511272228, 30.62845144348114], [103.9898996302628, 30.62890239546078], [103.9903918140106, 30.62910882264411], [103.990767425359, 30.62929760852649], [103.9907664292382, 30.62929261358557], [103.9912327037551, 30.62953310271327], [103.9922180536221, 30.63002191384499], [103.9932890827086, 30.63048846892488], [103.9943521343212, 30.6309930282025], [103.9954131914786, 30.63144661106999], [103.9962889359602, 30.63179979761943], [103.9967791052487, 30.63217914763633], [103.9967502042749, 30.63236116079129], [103.9963915112494, 30.63283305958933], [103.9959800074659, 30.63344206238462], [103.9957687694342, 30.6338915204043], [103.9962469860534, 30.63420893204486], [103.9968626939744, 30.63451193020626], [103.9972452696912, 30.63469668761014]]","[1407032306, 1407032315, 1407032325, 1407032335, 1407032345, 1407032355, 1407032365, 1407032375, 1407032385, 1407032395, 1407032406, 1407032416, 1407032426, 1407032436, 1407032446, 1407032456, 1407032466, 1407032476, 1407032486, 1407032496, 1407032506, 1407032516, 1407032526, 1407032536, 1407032546, 1407032556, 1407032566, 1407032576, 1407032586, 1407032596, 1407032615, 1407032623, 1407032633, 1407032643, 1407032653, 1407032663, 1407032673, 1407032683, 1407032694, 1407032704, 1407032714, 1407032724, 1407032734, 1407032744, 1407032754, 1407032764, 1407032774, 1407032784, 1407032794, 1407032804, 1407032814, 1407032824, 1407032834]","[1407032306, 1407032345, 1407032365, 1407032385, 1407032416, 1407032431, 1407032446, 1407032516, 1407032546, 1407032576, 1407032592, 1407032607, 1407032623, 1407032653, 1407032694, 1407032704, 1407032714, 1407032724, 1407032744, 1407032754, 1407032764, 1407032784, 1407032804, 1407032834]"
9,1,1,14,21,"[39220, 14724, 14720, 5, 10380, 39213, 39209, 8464, 8461, 8460, 39198, 39201, 39204, 4833]","[[104.0653019502066, 30.59184639063974], [104.065311959491, 30.59125459837287], [104.065322996437, 30.59001804477241], [104.0653370300348, 30.58873850161642], [104.0653850049764, 30.5874259231327], [104.0654110166237, 30.5861633543694], [104.0653162408724, 30.58493393556821], [104.0653152888994, 30.58392030904376], [104.0653432879679, 30.58285366163897], [104.0653573040054, 30.58195896941035], [104.0653842945448, 30.58111923883809], [104.0654342402397, 30.58037244280647], [104.0654162970815, 30.57982366629468], [104.0654662415322, 30.57910585890639], [104.0655181778837, 30.57849101123072], [104.0655012483025, 30.57760435418992], [104.065515235347, 30.57734742793829], [104.065515237445, 30.57730144450527], [104.0655152384484, 30.57727945242788], [104.0655172471924, 30.57701054657016], [104.065528244595, 30.5766426641267]]","[1407033885, 1407033895, 1407033905, 1407033915, 1407033925, 1407033935, 1407033945, 1407033955, 1407033965, 1407033975, 1407033985, 1407033995, 1407034005, 1407034016, 1407034026, 1407034036, 1407034046, 1407034056, 1407034066, 1407034076, 1407034086]","[1407033885, 1407033895, 1407033905, 1407033915, 1407033925, 1407033940, 1407033955, 1407033985, 1407034005, 1407034016, 1407034034, 1407034051, 1407034069, 1407034086]"
