from_node_id,to_node_id,maxspeed,length,speed_kph,travel_time,bearing,geometry,highway_type,out_degree,in_degree,lanes
0,4452,70,32.388,70.0,1.7,314.7,"LINESTRING (-8.6406364 41.1660713, -8.6409114 41.1662762)",1,2,1,2
0,508,40,223.005,40.0,20.1,3.8,"LINESTRING (-8.6406364 41.1660713, -8.640720200000001 41.1662137, -8.640759900000001 41.1663352, -8.640757799999999 41.1664674, -8.6406796 41.1666065, -8.640481599999999 41.1669122, -8.640433 41.1670937, -8.6404315 41.167301, -8.640442800000001 41.1676479, -8.6404479 41.1679507, -8.640466699999999 41.168008)",1,1,1,0
1,2410,40,112.268,40.0,10.1,264.2,"LINESTRING (-8.6420446 41.168347, -8.642338499999999 41.1682776, -8.642500699999999 41.1682117, -8.642701199999999 41.1681378, -8.6429355 41.1681355, -8.643083499999999 41.1681485, -8.643283500000001 41.1682515)",1,1,1,1
1,4228,40,191.892,40.0,17.3,292.8,"LINESTRING (-8.6420446 41.168347, -8.6422246 41.1683448, -8.6423839 41.1683181, -8.642723999999999 41.1682099, -8.6429037 41.1682018, -8.6430445 41.1682272, -8.643247499999999 41.1683211, -8.6437937 41.168776, -8.6438594 41.1689201)",1,1,1,1
2,2414,70,118.915,70.0,6.1,317.1,"LINESTRING (-8.6415867 41.1668853, -8.641734700000001 41.1669968, -8.642352499999999 41.1675121, -8.642553599999999 41.1676685)",1,2,2,2
3,4,90,77.19,90.0,3.1,357.6,"LINESTRING (-8.622405799999999 41.1742319, -8.6224311 41.1745623, -8.6224443 41.1749254)",6,1,2,3
4,3537,90,272.903,90.0,10.9,1.8,"LINESTRING (-8.6224443 41.1749254, -8.622427999999999 41.1757767, -8.622389800000001 41.1764927, -8.622362600000001 41.1770772, -8.6223525 41.1771944, -8.622344099999999 41.1773783)",6,1,2,4
5,1020,80,560.14,80.0,25.2,160.0,"LINESTRING (-8.5835683 41.166241, -8.5833393 41.1661137, -8.5830903 41.1659372, -8.582776600000001 41.1656524, -8.582570199999999 41.1653826, -8.581584599999999 41.1635853, -8.581416900000001 41.1632622, -8.5813554 41.1631437, -8.5812732 41.1629297, -8.5812285 41.1627076, -8.581208 41.1625507, -8.581243600000001 41.1622154, -8.581318899999999 41.161894, -8.581378900000001 41.1617012)",1,1,1,3
5,968,"['50', '40']",283.215,45.0,22.7,155.8,"LINESTRING (-8.5835683 41.166241, -8.5833186 41.1659875, -8.5831143 41.1657569, -8.5827442 41.165301, -8.582386100000001 41.1646697, -8.582229399999999 41.1644037, -8.5821837 41.1642204, -8.582209000000001 41.1639651)",1,2,1,1
6,3008,80,321.704,80.0,14.5,340.4,"LINESTRING (-8.581057599999999 41.1626066, -8.5810984 41.1628018, -8.581145599999999 41.1630178, -8.5812089 41.1631812, -8.5812642 41.1632991, -8.581415099999999 41.1636211, -8.582343 41.1653233)",1,1,1,3
6,1021,0,174.739,55.8,11.3,22.7,"LINESTRING (-8.581057599999999 41.1626066, -8.581010300000001 41.162892, -8.5810297 41.1630648, -8.5810394 41.1631419, -8.581035 41.163203, -8.5809648 41.1633181, -8.5808331 41.1634598, -8.5807821 41.1635456, -8.5807471 41.16363, -8.580712699999999 41.1637203, -8.580686999999999 41.16376, -8.5806276 41.1638116, -8.580580400000001 41.1638447, -8.580478299999999 41.1638938, -8.5803064 41.1639561)",1,1,1,1
7,2150,80,273.962,80.0,12.3,143.8,"LINESTRING (-8.582543299999999 41.1541532, -8.582280300000001 41.153765, -8.582068400000001 41.1535031, -8.581844 41.1532555, -8.5807319 41.1522761, -8.5806171 41.152175)",1,1,1,4
