,user_id,call_type,road_len,gps_len,road,gps,time,ptime
0,345,2,20,23,"[1002, 456, 228, 3285, 7975, 3283, 225, 3268, 4909, 1099, 2282, 992, 682, 685, 6688, 5415, 5417, 7774, 7379, 773]","[[-8.618643, 41.141412], [-8.618499, 41.141376], [-8.620326, 41.14251], [-8.622153, 41.143815], [-8.623953, 41.144373], [-8.62668, 41.144778], [-8.627373, 41.144697], [-8.630226, 41.14521], [-8.632746, 41.14692], [-8.631738, 41.148225], [-8.629938, 41.150385], [-8.62911, 41.151213], [-8.629128, 41.15124], [-8.628786, 41.152203], [-8.628687, 41.152374], [-8.628759, 41.152518], [-8.630838, 41.15268], [-8.632323, 41.153022], [-8.631144, 41.154489], [-8.630829, 41.154507], [-8.630829, 41.154516], [-8.630829, 41.154498], [-8.630838, 41.154489]]","[1372665658, 1372665673, 1372665688, 1372665703, 1372665718, 1372665733, 1372665748, 1372665763, 1372665778, 1372665793, 1372665808, 1372665823, 1372665838, 1372665853, 1372665868, 1372665883, 1372665898, 1372665913, 1372665928, 1372665943, 1372665958, 1372665973, 1372665988]","[1372665658, 1372665718, 1372665748, 1372665756, 1372665763, 1372665771, 1372665778, 1372665793, 1372665808, 1372665823, 1372665838, 1372665853, 1372665883, 1372665898, 1372665903, 1372665908, 1372665913, 1372665921, 1372665928, 1372665988]"
1,269,2,61,36,"[10269, 389, 1022, 4504, 2099, 4553, 9524, 9523, 9520, 5388, 9443, 9444, 5390, 6883, 6885, 6881, 6887, 8564, 2093, 9803, 2084, 923, 7261, 7259, 7255, 927, 7249, 7245, 929, 8207, 933, 923, 7261, 7259, 7255, 927, 7249, 7245, 929, 8206, 9465, 6677, 7992, 9371, 2252, 6672, 726, 8496, 7445, 7442, 7446, 722, 4578, 816, 9804, 798, 7358, 792, 7355, 6350, 887]","[[-8.57952, 41.145948], [-8.580942, 41.145039], [-8.582706, 41.145021], [-8.584092, 41.146164], [-8.58546, 41.14683], [-8.587116, 41.147397], [-8.586171, 41.148018], [-8.58609, 41.148963], [-8.588016, 41.149368], [-8.590401, 41.150016], [-8.593119, 41.150736], [-8.593506, 41.150853], [-8.593668, 41.15097], [-8.595342, 41.150232], [-8.59608, 41.149827], [-8.597466, 41.148909], [-8.598051, 41.148567], [-8.598663, 41.148342], [-8.600688, 41.148585], [-8.601723, 41.147325], [-8.601795, 41.147262], [-8.601768, 41.147289], [-8.602227, 41.147001], [-8.603667, 41.146578], [-8.603739, 41.146578], [-8.604477, 41.146164], [-8.604702, 41.145408], [-8.604477, 41.145327], [-8.604747, 41.144445], [-8.604945, 41.144148], [-8.603703, 41.143608], [-8.602236, 41.142807], [-8.603244, 41.142681], [-8.604, 41.142798], [-8.603982, 41.142798], [-8.603973, 41.142816]]","[1372666010, 1372666025, 1372666040, 1372666055, 1372666070, 1372666085, 1372666100, 1372666115, 1372666130, 1372666145, 1372666160, 1372666175, 1372666190, 1372666205, 1372666220, 1372666235, 1372666250, 1372666265, 1372666280, 1372666295, 1372666310, 1372666325, 1372666340, 1372666355, 1372666370, 1372666385, 1372666400, 1372666415, 1372666430, 1372666445, 1372666460, 1372666475, 1372666490, 1372666505, 1372666520, 1372666535]","[1372666010, 1372666025, 1372666055, 1372666063, 1372666070, 1372666075, 1372666080, 1372666085, 1372666100, 1372666115, 1372666120, 1372666125, 1372666130, 1372666135, 1372666140, 1372666145, 1372666160, 1372666175, 1372666180, 1372666185, 1372666190, 1372666195, 1372666200, 1372666205, 1372666210, 1372666215, 1372666220, 1372666225, 1372666230, 1372666235, 1372666238, 1372666240, 1372666243, 1372666246, 1372666248, 1372666251, 1372666254, 1372666256, 1372666259, 1372666261, 1372666264, 1372666267, 1372666269, 1372666272, 1372666275, 1372666277, 1372666280, 1372666295, 1372666310, 1372666340, 1372666355, 1372666365, 1372666375, 1372666385, 1372666393, 1372666400, 1372666430, 1372666445, 1372666460, 1372666475, 1372666535]"
2,8,2,54,34,"[699, 730, 1614, 7329, 728, 7330, 6460, 6461, 7385, 6161, 699, 730, 1614, 7329, 728, 7331, 7054, 873, 875, 36, 5383, 5379, 7383, 10416, 33, 6456, 996, 28, 25, 5382, 988, 7528, 7531, 7530, 10515, 7529, 7528, 7532, 45, 37, 39, 58, 9308, 826, 5410, 1641, 779, 3162, 5177, 824, 528, 2504, 9309, 9313]","[[-8.617563, 41.146182], [-8.617527, 41.145849], [-8.616978, 41.144832], [-8.615754, 41.145426], [-8.615745, 41.145408], [-8.615466, 41.145714], [-8.615142, 41.147046], [-8.615142, 41.147118], [-8.61579, 41.147298], [-8.617455, 41.147235], [-8.617716, 41.147217], [-8.618013, 41.147505], [-8.618796, 41.148603], [-8.619948, 41.148468], [-8.620758, 41.148927], [-8.621055, 41.150565], [-8.620893, 41.152284], [-8.621001, 41.154246], [-8.620821, 41.15547], [-8.620848, 41.155452], [-8.620812, 41.155803], [-8.62092, 41.157225], [-8.622819, 41.158242], [-8.624682, 41.159475], [-8.624664, 41.159718], [-8.624691, 41.160492], [-8.624709, 41.161563], [-8.624718, 41.161563], [-8.624727, 41.161554], [-8.624736, 41.161545], [-8.624736, 41.161536], [-8.624736, 41.161536], [-8.624727, 41.161545], [-8.6247, 41.161554]]","[1372666099, 1372666114, 1372666129, 1372666144, 1372666159, 1372666174, 1372666189, 1372666204, 1372666219, 1372666234, 1372666249, 1372666264, 1372666279, 1372666294, 1372666309, 1372666324, 1372666339, 1372666354, 1372666369, 1372666384, 1372666399, 1372666414, 1372666429, 1372666444, 1372666459, 1372666474, 1372666489, 1372666504, 1372666519, 1372666534, 1372666549, 1372666564, 1372666579, 1372666594]","[1372666099, 1372666129, 1372666137, 1372666144, 1372666167, 1372666189, 1372666204, 1372666219, 1372666249, 1372666250, 1372666251, 1372666252, 1372666254, 1372666255, 1372666256, 1372666257, 1372666258, 1372666259, 1372666261, 1372666262, 1372666263, 1372666264, 1372666265, 1372666266, 1372666267, 1372666269, 1372666270, 1372666271, 1372666272, 1372666273, 1372666274, 1372666276, 1372666277, 1372666278, 1372666279, 1372666294, 1372666302, 1372666309, 1372666324, 1372666332, 1372666339, 1372666354, 1372666369, 1372666399, 1372666404, 1372666409, 1372666414, 1372666429, 1372666437, 1372666444, 1372666459, 1372666474, 1372666534, 1372666594]"
3,143,2,20,22,"[7529, 7528, 7532, 45, 37, 39, 58, 9308, 825, 5422, 829, 50, 52, 55, 4908, 6721, 9619, 709, 9661, 702]","[[-8.619894, 41.148009], [-8.620164, 41.14773], [-8.62065, 41.148513], [-8.62092, 41.150313], [-8.621208, 41.151951], [-8.621118, 41.153517], [-8.620884, 41.155416], [-8.620938, 41.155479], [-8.620974, 41.155461], [-8.621028, 41.155461], [-8.619777, 41.155344], [-8.619282, 41.155335], [-8.618112, 41.155101], [-8.61534, 41.154579], [-8.613297, 41.153994], [-8.612064, 41.153832], [-8.611911, 41.155227], [-8.611794, 41.156838], [-8.610804, 41.157171], [-8.61021, 41.15727], [-8.609508, 41.157333], [-8.60949, 41.157351]]","[1372665675, 1372665690, 1372665705, 1372665720, 1372665735, 1372665750, 1372665765, 1372665780, 1372665795, 1372665810, 1372665825, 1372665840, 1372665855, 1372665870, 1372665885, 1372665900, 1372665915, 1372665930, 1372665945, 1372665960, 1372665975, 1372665990]","[1372665675, 1372665690, 1372665705, 1372665720, 1372665728, 1372665735, 1372665750, 1372665780, 1372665825, 1372665840, 1372665848, 1372665855, 1372665885, 1372665900, 1372665908, 1372665915, 1372665923, 1372665930, 1372665945, 1372665990]"
4,142,2,43,28,"[6658, 232, 7043, 8240, 7291, 7400, 7985, 7399, 7290, 8238, 8242, 234, 7481, 738, 10326, 8115, 789, 10327, 735, 10429, 10430, 7782, 10309, 7271, 8220, 893, 31, 87, 7372, 85, 2996, 2992, 2997, 3006, 3002, 2994, 9914, 6728, 4327, 983, 834, 838, 715]","[[-8.612208, 41.14053], [-8.612235, 41.140521], [-8.614035, 41.140323], [-8.614809, 41.14035], [-8.61561, 41.140287], [-8.616024, 41.140467], [-8.616006, 41.140548], [-8.61462, 41.141097], [-8.614314, 41.142393], [-8.613711, 41.143167], [-8.612811, 41.143806], [-8.611983, 41.144436], [-8.611299, 41.144985], [-8.611056, 41.145084], [-8.610777, 41.145921], [-8.609112, 41.146839], [-8.60886, 41.147442], [-8.610876, 41.147955], [-8.610237, 41.149584], [-8.610066, 41.150727], [-8.609985, 41.150898], [-8.609805, 41.151861], [-8.610003, 41.153472], [-8.609328, 41.155056], [-8.609238, 41.156847], [-8.608401, 41.157477], [-8.607276, 41.157657], [-8.606772, 41.15826]]","[1372666951, 1372666966, 1372666981, 1372666996, 1372667011, 1372667026, 1372667041, 1372667056, 1372667071, 1372667086, 1372667101, 1372667116, 1372667131, 1372667146, 1372667161, 1372667176, 1372667191, 1372667206, 1372667221, 1372667236, 1372667251, 1372667266, 1372667281, 1372667296, 1372667311, 1372667326, 1372667341, 1372667356]","[1372666951, 1372666981, 1372666986, 1372666991, 1372666996, 1372667011, 1372667026, 1372667034, 1372667041, 1372667049, 1372667056, 1372667071, 1372667079, 1372667086, 1372667101, 1372667116, 1372667131, 1372667146, 1372667150, 1372667154, 1372667157, 1372667161, 1372667166, 1372667171, 1372667176, 1372667191, 1372667206, 1372667221, 1372667236, 1372667251, 1372667266, 1372667274, 1372667281, 1372667285, 1372667289, 1372667292, 1372667296, 1372667301, 1372667306, 1372667311, 1372667326, 1372667341, 1372667356]"
5,2,2,41,17,"[2253, 9465, 6676, 6956, 8644, 9450, 9446, 9944, 9946, 849, 9452, 553, 9462, 9454, 1283, 9460, 854, 1275, 1263, 10413, 9457, 9458, 9738, 1258, 5307, 5305, 5301, 1188, 1164, 5334, 5335, 6897, 5331, 5329, 10517, 5308, 5297, 5306, 1117, 1119, 1136]","[[-8.599239, 41.149188], [-8.598681, 41.149296], [-8.597943, 41.150583], [-8.596962, 41.152266], [-8.595765, 41.154345], [-8.594388, 41.156739], [-8.59293, 41.159286], [-8.591589, 41.161464], [-8.59005, 41.163336], [-8.589078, 41.164632], [-8.588673, 41.165757], [-8.588547, 41.166135], [-8.587602, 41.168196], [-8.586585, 41.168826], [-8.584767, 41.168529], [-8.584317, 41.169258], [-8.584326, 41.169258]]","[1372666282, 1372666297, 1372666312, 1372666327, 1372666342, 1372666357, 1372666372, 1372666387, 1372666402, 1372666417, 1372666432, 1372666447, 1372666462, 1372666477, 1372666492, 1372666507, 1372666522]","[1372666282, 1372666297, 1372666302, 1372666307, 1372666312, 1372666327, 1372666342, 1372666345, 1372666347, 1372666350, 1372666352, 1372666355, 1372666357, 1372666361, 1372666365, 1372666368, 1372666372, 1372666375, 1372666377, 1372666380, 1372666382, 1372666385, 1372666387, 1372666392, 1372666397, 1372666402, 1372666407, 1372666412, 1372666417, 1372666432, 1372666447, 1372666451, 1372666455, 1372666458, 1372666462, 1372666467, 1372666472, 1372666477, 1372666492, 1372666507, 1372666522]"
6,248,2,38,15,"[85, 2996, 2992, 2997, 3006, 3001, 3004, 10350, 4904, 4908, 6722, 6723, 6718, 6725, 6738, 7390, 780, 779, 3162, 5177, 822, 2510, 7550, 3020, 9314, 2507, 780, 779, 3162, 5177, 822, 2510, 7550, 3020, 9315, 9318, 9317, 3040]","[[-8.609706, 41.151303], [-8.609562, 41.151474], [-8.610021, 41.152509], [-8.609769, 41.153409], [-8.609355, 41.153535], [-8.610732, 41.153688], [-8.611893, 41.154345], [-8.612784, 41.155164], [-8.614989, 41.155425], [-8.61813, 41.155704], [-8.619606, 41.156478], [-8.619777, 41.157954], [-8.620497, 41.159412], [-8.621163, 41.160357], [-8.621064, 41.16114]]","[1372666961, 1372666976, 1372666991, 1372667006, 1372667021, 1372667036, 1372667051, 1372667066, 1372667081, 1372667096, 1372667111, 1372667126, 1372667141, 1372667156, 1372667171]","[1372666961, 1372666976, 1372666991, 1372667006, 1372667021, 1372667026, 1372667031, 1372667036, 1372667044, 1372667051, 1372667066, 1372667071, 1372667076, 1372667081, 1372667089, 1372667096, 1372667111, 1372667113, 1372667114, 1372667116, 1372667118, 1372667119, 1372667121, 1372667123, 1372667124, 1372667126, 1372667129, 1372667133, 1372667136, 1372667139, 1372667143, 1372667146, 1372667149, 1372667153, 1372667156, 1372667161, 1372667166, 1372667171]"
7,383,0,33,17,"[4103, 8367, 4113, 6782, 3962, 3952, 2603, 8249, 4132, 2577, 1962, 2614, 7073, 1965, 8439, 9421, 4061, 8941, 271, 268, 273, 263, 281, 286, 2532, 2543, 7853, 7856, 7863, 9784, 7865, 2205, 5133]","[[-8.660646, 41.168574], [-8.661087, 41.167926], [-8.661231, 41.166576], [-8.660637, 41.166396], [-8.660295, 41.166819], [-8.658954, 41.168394], [-8.657649, 41.169906], [-8.656371, 41.171454], [-8.654706, 41.173479], [-8.653014, 41.17527], [-8.651349, 41.17644], [-8.652213, 41.177241], [-8.651358, 41.178069], [-8.65071, 41.178924], [-8.65125, 41.17968], [-8.649648, 41.180643], [-8.647515, 41.18193]]","[1372666054, 1372666069, 1372666084, 1372666099, 1372666114, 1372666129, 1372666144, 1372666159, 1372666174, 1372666189, 1372666204, 1372666219, 1372666234, 1372666249, 1372666264, 1372666279, 1372666294]","[1372666054, 1372666062, 1372666069, 1372666077, 1372666084, 1372666099, 1372666114, 1372666129, 1372666144, 1372666149, 1372666154, 1372666159, 1372666164, 1372666169, 1372666174, 1372666177, 1372666179, 1372666182, 1372666184, 1372666187, 1372666189, 1372666197, 1372666204, 1372666219, 1372666227, 1372666234, 1372666249, 1372666264, 1372666269, 1372666274, 1372666279, 1372666287, 1372666294]"
8,192,2,42,35,"[7044, 232, 7043, 8240, 7291, 7400, 7985, 7399, 7290, 8238, 8242, 234, 7481, 738, 10326, 8115, 789, 10329, 7485, 7780, 9519, 878, 9533, 6143, 884, 892, 880, 9046, 795, 7357, 797, 7438, 7432, 812, 814, 7441, 102, 88, 94, 2055, 8231, 116]","[[-8.612955, 41.140377], [-8.612991, 41.140359], [-8.61309, 41.140368], [-8.613297, 41.14035], [-8.614512, 41.140269], [-8.615358, 41.140215], [-8.615988, 41.140422], [-8.615556, 41.140701], [-8.614548, 41.14116], [-8.614269, 41.142285], [-8.61372, 41.143032], [-8.612631, 41.143932], [-8.61174, 41.14458], [-8.611461, 41.144787], [-8.611488, 41.144787], [-8.611434, 41.144796], [-8.611308, 41.144886], [-8.610615, 41.144103], [-8.609715, 41.143158], [-8.608599, 41.143149], [-8.608581, 41.143167], [-8.608563, 41.143158], [-8.60733, 41.142501], [-8.605224, 41.143338], [-8.604468, 41.145084], [-8.604405, 41.145192], [-8.603703, 41.145444], [-8.603307, 41.145525], [-8.602038, 41.145687], [-8.602011, 41.145678], [-8.60193, 41.146875], [-8.602074, 41.149197], [-8.602317, 41.151816], [-8.602452, 41.154129], [-8.60247, 41.15592]]","[1372667302, 1372667317, 1372667332, 1372667347, 1372667362, 1372667377, 1372667392, 1372667407, 1372667422, 1372667437, 1372667452, 1372667467, 1372667482, 1372667497, 1372667512, 1372667527, 1372667542, 1372667557, 1372667572, 1372667587, 1372667602, 1372667617, 1372667632, 1372667647, 1372667662, 1372667677, 1372667692, 1372667707, 1372667722, 1372667737, 1372667752, 1372667767, 1372667782, 1372667797, 1372667812]","[1372667302, 1372667317, 1372667332, 1372667347, 1372667362, 1372667377, 1372667392, 1372667402, 1372667412, 1372667422, 1372667430, 1372667437, 1372667445, 1372667452, 1372667467, 1372667482, 1372667512, 1372667523, 1372667535, 1372667546, 1372667557, 1372667565, 1372667572, 1372667587, 1372667602, 1372667632, 1372667640, 1372667647, 1372667662, 1372667692, 1372667722, 1372667732, 1372667742, 1372667752, 1372667757, 1372667762, 1372667767, 1372667782, 1372667797, 1372667802, 1372667807, 1372667812]"
9,186,1,33,20,"[7489, 552, 1242, 1116, 1246, 1114, 1199, 8197, 1202, 1112, 9673, 5542, 8787, 1111, 2905, 1109, 1630, 6902, 1043, 1158, 9766, 5302, 5306, 1117, 1119, 1135, 5287, 1694, 6521, 8052, 8056, 6116, 8049]","[[-8.60418, 41.160969], [-8.603874, 41.1615], [-8.60391, 41.161527], [-8.603919, 41.162022], [-8.602614, 41.163039], [-8.601309, 41.163993], [-8.599842, 41.165109], [-8.596854, 41.166306], [-8.593794, 41.167197], [-8.591913, 41.168169], [-8.589654, 41.169492], [-8.588241, 41.169438], [-8.5869, 41.168871], [-8.584848, 41.168502], [-8.58285, 41.168331], [-8.58123, 41.168493], [-8.579907, 41.168169], [-8.579772, 41.167881], [-8.579781, 41.167881], [-8.579763, 41.167899]]","[1372668760, 1372668775, 1372668790, 1372668805, 1372668820, 1372668835, 1372668850, 1372668865, 1372668880, 1372668895, 1372668910, 1372668925, 1372668940, 1372668955, 1372668970, 1372668985, 1372669000, 1372669015, 1372669030, 1372669045]","[1372668760, 1372668790, 1372668820, 1372668835, 1372668843, 1372668850, 1372668853, 1372668856, 1372668859, 1372668862, 1372668865, 1372668869, 1372668873, 1372668876, 1372668880, 1372668895, 1372668903, 1372668910, 1372668925, 1372668930, 1372668935, 1372668940, 1372668945, 1372668950, 1372668955, 1372668963, 1372668970, 1372668975, 1372668980, 1372668985, 1372668993, 1372669000, 1372669045]"
